season,season_sort_key,player_name,team,grade,matches,innings,not_outs,runs,high_score,average,strike_rate,30s,50s,100s,ducks,fours,sixes,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1932/33,193200,Alan Cox,Georges River DCC,Historical club summary,,22,3,159,23,8.368421053,,,,,,,,1932-33,28,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1932/33,193200,Bill Edmonds,Georges River DCC,Historical club summary,,13,4,86,22,9.555555555555555,,,,,,,,1932-33,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,C Beehag,Georges River DCC,Historical club summary,,4,1,21,10,7,,,,,,,,1932-33,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,C Beehag,Georges River DCC,Historical club summary,,10,,194,48,19.4,,,,,,,,1932-33,26,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,C Hughes,Georges River DCC,Historical club summary,,9,,137,39,15.22222222,,,,,,,,1932-33,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,D Morton,Georges River DCC,Historical club summary,,2,,11,8,5.5,,,,,,,,1932-33,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,D Morton,Georges River DCC,Historical club summary,,18,1,186,40,10.94117647,,,,,,,,1932-33,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,E Reid,Georges River DCC,Historical club summary,,14,3,324,83,29.45454545,,,,,,,,1932-33,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Griggs,Georges River DCC,Historical club summary,,16,3,330,67,25.38461538,,,,,,,,1932-33,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Hurst,Georges River DCC,Historical club summary,,16,2,198,32,14.14285714,,,,,,,,1932-33,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Mcdarra,Georges River DCC,Historical club summary,,12,1,134,25,12.18181818,,,,,,,,1932-33,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Mcdarra,Georges River DCC,Historical club summary,,2,,30,23,15,,,,,,,,1932-33,39,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,G Parsons,Georges River DCC,Historical club summary,,17,1,242,46,15.125,,,,,,,,1932-33,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,H Jesson,Georges River DCC,Historical club summary,,16,2,76,19,5.428571429,,,,,,,,1932-33,35,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Dixon,Georges River DCC,Historical club summary,,3,,4,4,1.333333333,,,,,,,,1932-33,7,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Dixon,Georges River DCC,Historical club summary,,16,2,278,43,19.85714286,,,,,,,,1932-33,29,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Kenyon,Georges River DCC,Historical club summary,,9,1,103,37,12.875,,,,,,,,1932-33,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,L Duly,Georges River DCC,Historical club summary,,14,,209,56,14.92857143,,,,,,,,1932-33,8,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,L Hunt,Georges River DCC,Historical club summary,,9,,39,15,4.333333333,,,,,,,,1932-33,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,M Jones,Georges River DCC,Historical club summary,,14,1,191,44,14.69230769,,,,,,,,1932-33,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,N Mashman,Georges River DCC,Historical club summary,,9,1,66,17,8.25,,,,,,,,1932-33,38,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,Norm Nosworthy,Georges River DCC,Historical club summary,,19,3,332,110,20.75,,,,,,,,1932-33,15,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1932/33,193200,Percy Eldridge,Georges River DCC,Historical club summary,,21,2,209,43,11,,,,,,,,1932-33,31,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,Phil Payne,Georges River DCC,Historical club summary,,3,1,167,137,83.5,,,,,,,,1932-33,18,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,R Avern,Georges River DCC,Historical club summary,,10,,49,12,4.9,,,,,,,,1932-33,25,bexley_stats_spreadsheets.xlsx,excel,high,clean
