source_file,source_sheet,source_row,player_name,season,metric_group,check_name,source_value,expected_value,difference,tolerance,issue_flag,severity,reason,action
bexley_stats_spreadsheets.xlsx,1929-30,52,T Whittaker,Summer 1929/30,batting,not_outs_not_above_innings,6.0,22.0,-16.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,52,T Whittaker,Summer 1929/30,batting,batting_average_reconciliation,6.8125,6.81,0.0025,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,52,T Whittaker,Summer 1929/30,bowling,bowling_average_reconciliation,29.0,29.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,52,T Whittaker,Summer 1929/30,bowling,high_numerator_zero_overs,29.0,0,29.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,53,F Wilton,Summer 1929/30,batting,high_score_not_above_total_runs,33.0,166.0,-133.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,53,F Wilton,Summer 1929/30,batting,not_outs_not_above_innings,2.0,17.0,-15.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,53,F Wilton,Summer 1929/30,batting,batting_average_reconciliation,11.06666667,11.07,-0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,58,15 5,Summer 1929/30,batting,not_outs_not_above_innings,3.0,5.0,-2.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,4,C Avern,Summer 1930/31,batting,high_score_not_above_total_runs,57.0,109.0,-52.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,4,C Avern,Summer 1930/31,batting,not_outs_not_above_innings,1.0,7.0,-6.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,4,C Avern,Summer 1930/31,batting,batting_average_reconciliation,18.16666667,18.17,-0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,4,C Avern,Summer 1930/31,bowling,bowling_average_reconciliation,19.0,19.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,5,R Bartley,Summer 1930/31,batting,high_score_not_above_total_runs,3.0,3.0,0.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,6,J Boardman,Summer 1930/31,batting,high_score_not_above_total_runs,15.0,25.0,-10.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,7,Ren Bullock,Summer 1930/31,batting,high_score_not_above_total_runs,115.0,498.0,-383.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,7,Ren Bullock,Summer 1930/31,batting,not_outs_not_above_innings,1.0,20.0,-19.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,7,Ren Bullock,Summer 1930/31,batting,batting_average_reconciliation,25.63157895,26.21,-0.5784,0.15,yes,medium,Source batting average does not reconcile with runs / dismissals.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1930-31,7,Ren Bullock,Summer 1930/31,bowling,bowling_average_reconciliation,14.5,14.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,9,L Duly,Summer 1930/31,batting,high_score_not_above_total_runs,71.0,224.0,-153.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,9,L Duly,Summer 1930/31,batting,not_outs_not_above_innings,3.0,18.0,-15.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,9,L Duly,Summer 1930/31,batting,batting_average_reconciliation,14.93333333,14.93,0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1930-31,10,Percy Eldridge,Summer 1930/31,batting,high_score_not_above_total_runs,19.0,27.0,-8.0,0,,,,
bexley_stats_spreadsheets.xlsx,1930-31,12,A Glasspool,Summer 1930/31,batting,high_score_not_above_total_runs,7.0,8.0,-1.0,0,,,,
